dataset, ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
freiburg2_desk, 30, 140, 0.69746, 1.61594, 0.11764, 0.07430, 3.38005, 0.07568, 0.05810, 2.84314, 0.10000, 0.08705, 1.74501, 0.06316, 0.00931, 1.51556, 0.08110, 0.00954, NaN, NaN, NaN, 1.05309, 0.00000, 0.31417, 4.67148, 0.03143, 0.01176
freiburg2_desk, 710, 720, 0.79195, 2.89190, 0.12617, 0.03950, 4.07390, 0.03401, 0.00893, 3.16945, 0.08566, 0.01028, 3.63299, 0.03700, 0.00909, 3.61654, 0.03250, 0.00885, NaN, NaN, NaN, 7.88848, 0.00000, 0.31417, 7.65012, 0.02222, 0.01019
freiburg2_desk, 930, 940, 0.87244, 1.47425, 0.03184, 0.00695, 2.14137, 0.03230, 0.00384, 1.48694, 0.03470, 0.00963, 1.64848, 0.03116, 0.00869, 1.47245, 0.04086, 0.01356, 7.53707, 0.02236, 0.00935, 4.61620, 0.00000, 0.31416, 3.60567, 0.04045, 0.01105
freiburg2_desk, 30, 40, 0.91155, 0.70151, 0.02541, 0.01356, 0.80990, 0.01370, 0.01384, 0.66976, 0.01775, 0.01440, 0.86728, 0.01428, 0.01334, 0.75929, 0.01625, 0.01189, 10.97360, 0.02432, 0.01064, 2.88764, 0.00000, 0.31416, 3.30358, 0.01446, 0.00754
freiburg2_large_no_loop, 960, 970, 0.15033, 2.39275, 0.22358, 0.08639, 2.19058, 0.19400, 0.14191, 1.79673, 0.19312, 0.12634, 2.56073, 0.19949, 0.14134, 2.47440, 0.19953, 0.14167, NaN, NaN, NaN, 120.03517, NaN, NaN, 4.53732, 0.20946, 0.14050
freiburg2_large_no_loop, 830, 790, 0.21848, 1.77694, 0.43898, 0.26424, 2.69505, 0.41973, 0.29924, 1.96756, 0.45118, 0.27994, 2.40689, 0.37788, 0.31102, 2.09221, 0.39485, 0.31134, NaN, NaN, NaN, 89.59998, 0.47166, 0.36825, 3.90385, 0.34317, 0.31622
freiburg2_large_no_loop, 980, 990, 0.33618, 1.43161, 0.23570, 0.06507, 2.71337, 0.28092, 0.07044, 1.80093, 0.25297, 0.06973, 2.48773, 0.27941, 0.07040, 2.57090, 0.27961, 0.07035, NaN, NaN, NaN, 120.03196, NaN, NaN, 4.49883, 0.28799, 0.07872
freiburg2_large_no_loop, 150, 180, 0.41015, 2.26548, 1.22031, 0.10600, 2.22325, 1.06174, 0.09494, 2.08294, 1.18040, 0.08469, 1.44592, 0.45303, 0.09653, 1.32547, 1.02618, 0.08405, NaN, NaN, NaN, 9.34127, 1.03567, 0.28422, 2.02039, 0.59338, 0.09489
freiburg2_large_no_loop, 40, 150, 0.51305, 2.34066, 1.29824, 0.09744, 4.58153, 1.32155, 0.11296, 3.43430, 1.36662, 0.08922, 6.19995, 0.70062, 0.13546, 3.12478, 1.29299, 0.11377, NaN, NaN, NaN, 3.02526, 0.00000, 0.31416, 12.68123, 0.18654, 0.14414
freiburg2_large_no_loop, 50, 10, 0.66815, 1.75051, 0.71145, 0.07303, 2.43101, 0.72529, 0.05558, 1.81805, 0.75198, 0.07298, 1.13330, 0.32668, 0.08656, 2.11510, 0.79853, 0.07324, NaN, NaN, NaN, 1.48225, 0.00000, 0.31415, 2.03725, 0.34936, 0.09581
freiburg2_large_no_loop, 250, 260, 0.72502, 0.66987, 0.01243, 0.07250, 0.79356, 0.03324, 0.10970, 0.75365, 0.02345, 0.09170, 0.76331, 0.03559, 0.11489, 0.85769, 0.03565, 0.11472, NaN, NaN, NaN, 1.46454, 1.42541, 0.71869, 1.33174, 0.03692, 0.11641
freiburg2_large_no_loop, 150, 130, 0.87906, 2.05794, 0.22194, 0.03506, 1.01970, 0.03970, 0.06389, 1.62422, 0.07650, 0.03522, 1.25397, 0.04424, 0.06068, 0.87822, 0.04496, 0.06902, NaN, NaN, NaN, 0.73319, 0.00000, 0.31416, 1.74525, 0.03789, 0.06761
freiburg2_large_no_loop, 130, 140, 0.94440, 2.40774, 0.12048, 0.08843, 0.79374, 0.03524, 0.01882, 0.76987, 0.04067, 0.02212, 0.73898, 0.03345, 0.01788, 0.68336, 0.03502, 0.01748, NaN, NaN, NaN, 0.56318, 0.92688, 2.58130, 1.68616, 0.03466, 0.01811
freiburg2_large_with_loop, 980, 940, 0.14128, 1.41090, 0.63639, 0.81631, 2.32513, 0.88585, 1.09673, 2.27376, 0.82991, 1.04712, 2.30178, 0.90963, 1.09003, 2.20918, 0.96410, 1.10032, NaN, NaN, NaN, 120.03196, NaN, NaN, NaN, NaN, NaN
freiburg2_large_with_loop, 950, 970, 0.25424, 0.77895, 0.57276, 0.18149, 1.52670, 0.93272, 0.16982, 0.74284, 0.66031, 0.17694, 1.50315, 0.97724, 0.22069, 1.47376, 0.99065, 0.22684, NaN, NaN, NaN, 120.02961, NaN, NaN, NaN, NaN, NaN
freiburg2_large_with_loop, 400, 290, 0.32613, 9.33164, 2.73956, 0.74825, 5.04979, 2.27700, 0.05190, 4.46041, 2.73181, 0.08020, 5.02962, 1.70561, 0.01509, 4.39759, 1.99429, 0.02538, NaN, NaN, NaN, 120.02630, NaN, NaN, 7.14085, 1.36264, 0.02007
freiburg2_large_with_loop, 40, 180, 0.49921, 2.16783, 0.72126, 0.15853, 3.52552, 0.72328, 0.26424, 2.41644, 0.77348, 0.21750, 4.27184, 0.50098, 0.25953, 4.32864, 0.58366, 0.28895, NaN, NaN, NaN, 56.07621, 0.00000, 0.31414, NaN, NaN, NaN
freiburg2_large_with_loop, 570, 490, 0.54234, 1.58709, 1.52255, 0.20418, 2.93551, 2.14821, 0.11724, 2.63826, 2.29554, 0.20555, 2.43556, 2.13129, 0.04410, 2.85209, 2.15082, 0.03105, NaN, NaN, NaN, 25.37080, 0.00000, 0.31416, NaN, NaN, NaN
freiburg2_large_with_loop, 480, 580, 0.60175, 0.30025, 0.65943, 0.32332, 0.37390, 0.13669, 0.01364, 0.34688, 0.31426, 0.24320, 0.44031, 0.10544, 0.01058, 0.28380, 0.09829, 0.01399, NaN, NaN, NaN, 26.80127, 0.00000, 0.31415, 1.35220, NaN, NaN
freiburg2_large_with_loop, 270, 290, 0.74209, 1.66130, 0.74938, 0.04338, 1.74364, 0.40895, 0.00879, 1.88780, 0.69418, 0.01798, 1.90790, 0.20790, 0.00648, 1.79404, 0.33045, 0.00348, NaN, NaN, NaN, 9.95232, 0.00000, 0.31416, 4.87771, 0.06652, 0.01247
freiburg2_large_with_loop, 360, 320, 0.88053, 1.78604, 0.55883, 0.13254, 3.42592, 0.53822, 0.10718, 1.79176, 0.50894, 0.13422, 3.01787, 0.16350, 0.05568, 2.91190, 0.41596, 0.08823, NaN, NaN, NaN, 4.39664, 0.00000, 0.31416, 3.39978, 0.03237, 0.17545
